,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Kris Bubic,0,Kauffman Stadium,5,663460,5.27,9.41,7.51,1.54,0.27,0.4,0.5,0.4,0.333,0.0,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Madison Bumgarner,1,Busch Stadium,15,518516,3.96,9.62,6.21,1.39,0.269,0.5,1.0,0.5,0.0,0.0,True
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Madison Bumgarner,1,Busch Stadium,15,518516,3.96,9.62,6.21,1.39,0.269,0.75,0.4,0.25,0.667,0.5,True
3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Tyler Alexander,1,Dodger Stadium,17,641302,3.83,8.94,4.74,1.2,0.262,0.0,0.333,0.4,0.25,0.0,True
4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Frankie Montas,0,Oakland Coliseum,19,593423,18.0,15.0,6.0,2.67,0.385,0.25,0.5,0.25,0.0,0.333,True
5,5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Garrett Richards,0,Globe Life Field,14,572070,5.35,9.31,7.45,1.37,0.261,0.667,0.333,0.333,0.0,0.5,True
6,6,6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Yusei Kikuchi,0,Rogers Centre,2,579328,5.13,8.2,10.03,1.49,0.244,0.25,1.0,0.667,0.25,0.2,True
7,7,7,7,7,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Zach Thompson,0,PNC Park,10,605507,5.08,9.66,6.18,1.47,0.269,0.8,0.6,0.5,0.333,0.0,True
8,8,8,8,8,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Aaron Nola,1,Citi Field,22,605400,3.17,7.28,9.77,0.95,0.219,0.25,0.0,0.0,0.4,0.333,True
9,9,9,9,9,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Garrett Richards,0,Globe Life Field,14,572070,5.35,9.31,7.45,1.37,0.261,0.25,0.25,0.0,0.6,0.2,True
