,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Max Scherzer,0.0,Citi Field,22.0,453286,1.93,6.84,11.05,0.93,.209,0.5,0.5,0.8,0.5,0.25,False
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Patrick Corbin,1.0,Dodger Stadium,17.0,571578,7.02,13.13,8.32,1.82,.331,0.333,0.0,0.4,0.333,0.5,True
4,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Nathan Eovaldi,0.0,Fenway Park,3.0,543135,4.15,9.75,8.67,1.26,.270,0.333,0.5,0.5,0.0,0.2,False
5,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Tarik Skubal,0.0,Comerica Park,25.0,669373,3.52,7.95,8.95,1.16,.237,0.4,0.0,0.6,0.25,0.0,False
6,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Domingo German,1.0,Citi Field,22.0,593334,4.18,9.89,6.46,1.44,.277,0.5,0.4,0.25,0.0,0.5,True
7,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Cole Irvin,0.0,Oakland Coliseum,19.0,608344,2.92,7.59,6.13,1.03,.226,0.667,0.0,0.0,0.5,0.5,True
8,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Kyle Gibson,0.0,Citizens Bank Park,16.0,502043,4.29,8.06,6.73,1.18,.239,0.6,0.0,0.2,0.5,0.0,True
9,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Kyle Gibson,0.0,Citizens Bank Park,16.0,502043,4.29,8.06,6.73,1.18,.239,0.667,0.5,0.333,0.75,0.5,False
10,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Patrick Corbin,1.0,Dodger Stadium,17.0,571578,7.02,13.13,8.32,1.82,.331,0.2,0.0,0.25,0.5,0.4,True
12,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Patrick Corbin,1.0,Dodger Stadium,17.0,571578,7.02,13.13,8.32,1.82,.331,0.5,0.5,0.2,0.25,0.25,True
13,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Cal Quantrill,1.0,Fenway Park,3.0,615698,3.67,8.58,5.95,1.22,.255,0.75,0.25,0.25,0.333,0.0,True
14,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Nathan Eovaldi,0.0,Fenway Park,3.0,543135,4.15,9.75,8.67,1.26,.270,0.0,0.333,0.25,0.5,0.5,False
15,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Max Scherzer,0.0,Citi Field,22.0,453286,1.93,6.84,11.05,0.93,.209,0.0,0.2,0.4,0.333,1.0,True
16,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,4.18,9.88,5.15,1.41,.280,0.0,0.0,0.333,0.333,0.0,False
17,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Cole Irvin,0.0,Oakland Coliseum,19.0,608344,2.92,7.59,6.13,1.03,.226,0.0,0.2,0.4,0.25,0.6,False
18,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Kevin Gausman,0.0,Rogers Centre,2.0,592332,2.91,9.56,10.48,1.23,.270,0.5,0.0,0.333,0.25,0.4,False
