,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Cal Quantrill,1,Yankee Stadium,6,615698,3.88,9.0,5.78,1.28,0.265,0.667,0.333,0.25,0.2,0.0,False
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.5,0.75,0.25,0.0,0.5,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.6,0.0,0.0,0.4,0.0,True
3,3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.5,0.75,0.0,0.333,0.8,False
4,4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Nestor Cortes,0,Yankee Stadium,6,641482,2.57,6.91,9.24,1.02,0.208,0.0,0.4,0.333,0.25,0.25,False
5,5,5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Elieser Hernandez,1,Truist Park,12,622694,6.0,9.33,8.83,1.39,0.26,0.5,0.0,0.25,0.0,0.0,True
6,6,6,6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Alek Manoah,1,Minute Maid Park,32,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.0,0.0,0.6,0.0,False
7,7,7,7,7,7,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Tyler Anderson,1,Petco Park,31,542881,2.72,7.21,7.14,1.0,0.219,0.25,0.0,0.5,0.75,0.0,False
8,8,8,8,8,8,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Humberto Castellanos,0,Chase Field,13,528748,5.68,10.15,6.5,1.4,0.289,0.25,0.6,0.0,0.5,0.4,True
9,9,9,9,9,9,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Elieser Hernandez,1,Truist Park,12,622694,6.0,9.33,8.83,1.39,0.26,0.0,0.5,0.5,0.0,0.0,True
10,10,10,10,10,10,10,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.667,0.25,0.0,0.0,0.0,False
11,11,11,11,11,11,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,J.P. Feyereisen,0,Tropicana Field,21,656420,0.0,2.59,9.25,0.49,0.086,0.25,0.0,0.2,0.0,0.2,False
12,12,12,12,12,12,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.2,0.0,0.333,0.25,0.0,True
13,13,13,13,13,13,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,J.P. Feyereisen,0,Tropicana Field,21,656420,0.0,2.59,9.25,0.49,0.086,0.75,0.75,0.5,0.0,0.6,False
14,14,14,14,14,14,14,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Adrian Houser,1,Citizens Bank Park,16,605288,4.72,9.67,6.72,1.48,0.271,0.667,0.0,0.75,0.25,0.25,False
15,15,15,15,15,15,15,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Cal Quantrill,1,Yankee Stadium,6,615698,3.88,9.0,5.78,1.28,0.265,0.333,0.25,0.25,0.25,0.667,True
16,16,16,16,16,16,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.333,0.0,0.5,0.5,0.25,True
17,17,17,17,17,17,19,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Frankie Montas,0,Oakland Coliseum,19,593423,18.0,15.0,6.0,2.67,0.385,0.2,0.0,0.5,0.25,0.0,False
