,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
10,10,10,10,10,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.333,0.25,0.0,0.5,0.0,True
11,11,11,11,11,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.5,0.333,0.5,0.0,0.0,True
12,12,12,12,13,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Eric Lauer,1.0,Busch Stadium,15.0,641778,3.59,7.75,8.87,1.22,0.23,0.25,0.0,0.5,0.4,0.4,True
13,13,13,13,15,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.2,0.0,0.0,0.5,0.25,False
14,14,14,14,16,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Daniel Lynch,1.0,Target Field,26.0,663738,4.79,10.13,9.36,1.52,0.279,0.0,0.0,0.0,0.0,0.0,True
15,15,15,15,17,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.0,0.25,0.25,0.25,0.333,True
16,16,16,16,18,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Michael Wacha,1.0,Guaranteed Rate Field,23.0,608379,2.69,7.17,6.4,1.11,0.215,0.5,0.667,0.5,0.25,0.2,True
17,17,17,17,19,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Martin Perez,1.0,Oakland Coliseum,19.0,527048,2.85,7.94,7.81,1.18,0.235,0.25,0.2,0.25,0.5,0.25,True
18,18,18,18,21,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.5,0.0,0.0,0.0,0.0,True
19,19,19,19,22,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.25,0.0,0.5,0.0,0.333,True
20,20,20,20,23,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.333,0.0,0.25,0.333,0.333,False
21,21,21,21,25,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Mitch White,1.0,Chase Field,13.0,669952,5.79,11.57,3.86,1.5,0.3,0.5,0.25,0.25,0.6,0.2,True
22,22,22,22,26,17548,Taylor Ward,LAA,28,0.274,0.365,0.465,0.7829999999999999,621493,108,Hyun Jin Ryu,1.0,Angel Stadium,4.0,547943,5.67,10.67,5.33,1.33,0.294,0.25,0.333,0.2,0.4,0.4,False
23,23,23,23,27,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.0,0.2,0.25,0.0,0.25,True
24,24,24,24,28,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Daniel Lynch,1.0,Target Field,26.0,663738,4.79,10.13,9.36,1.52,0.279,0.2,0.5,1.0,0.6,0.667,True
25,25,25,25,29,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.333,0.25,0.333,0.25,0.333,True
26,26,26,26,30,19287,Adolis Garcia,TEX,29,0.248,0.298,0.456,0.677,666969,140,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.0,0.5,0.0,0.5,0.0,True
27,27,27,27,31,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Ryan Yarbrough,0.0,Tropicana Field,21.0,642232,5.08,9.85,6.35,1.36,0.277,0.0,0.333,0.333,0.0,0.5,True
28,28,28,28,32,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Hyun Jin Ryu,1.0,Angel Stadium,4.0,547943,5.67,10.67,5.33,1.33,0.294,0.0,0.0,0.4,0.5,0.0,False
29,29,29,29,34,16578,Yandy Diaz,TBR,30,0.277,0.392,0.393,0.873,650490,139,Nestor Cortes,1.0,Tropicana Field,21.0,641482,2.57,6.91,9.24,1.02,0.208,0.0,0.333,0.167,0.75,0.5,False
30,30,30,30,35,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Tarik Skubal,0.0,Comerica Park,25.0,669373,3.52,7.95,8.95,1.16,0.237,0.25,0.0,0.25,0.25,0.5,True
31,31,31,31,36,19612,Bo Bichette,TOR,24,0.263,0.304,0.436,0.775,666182,141,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.4,0.0,0.0,0.5,0.25,True
32,32,32,32,37,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.667,0.25,0.0,0.0,0.0,False
33,33,33,33,38,12533,Marcus Semien,TEX,31,0.239,0.298,0.403,0.8079999999999999,543760,140,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.5,0.0,0.25,0.25,0.333,False
34,34,34,34,40,13419,Christian Walker,ARI,31,0.21,0.31,0.459,0.7709999999999999,572233,109,Mitch White,1.0,Chase Field,13.0,669952,5.79,11.57,3.86,1.5,0.3,0.0,0.25,0.0,0.0,0.333,True
35,35,35,35,41,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Michael Wacha,1.0,Guaranteed Rate Field,23.0,608379,2.69,7.17,6.4,1.11,0.215,0.0,0.667,0.6,0.5,0.667,True
36,36,36,36,42,14344,Matt Olson,ATL,28,0.248,0.338,0.48,0.738,621566,144,Aaron Nola,1.0,Truist Park,12.0,605400,3.17,7.28,9.77,0.95,0.219,0.25,0.25,0.333,0.0,0.2,True
37,37,37,37,43,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.4,0.0,0.0,0.25,0.333,False
38,38,38,38,45,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Adam Wainwright,0.0,Busch Stadium,15.0,425794,3.42,8.64,7.24,1.24,0.253,0.0,0.25,0.25,0.0,0.4,True
39,39,39,39,47,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.0,0.333,0.0,0.333,0.25,False
40,40,40,40,48,13613,Ketel Marte,ARI,28,0.261,0.346,0.445,0.804,606466,109,Mitch White,1.0,Chase Field,13.0,669952,5.79,11.57,3.86,1.5,0.3,0.5,0.5,0.5,0.2,0.25,True
41,41,41,41,49,10231,Jose Iglesias,COL,32,0.316,0.358,0.417,0.865,578428,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.25,0.5,0.333,0.25,0.5,True
42,42,42,42,50,14162,Carlos Correa,MIN,27,0.265,0.342,0.431,0.7829999999999999,621043,142,Daniel Lynch,1.0,Target Field,26.0,663738,4.79,10.13,9.36,1.52,0.279,0.4,0.333,0.25,0.0,0.4,True
43,43,43,43,51,12144,Max Kepler,MIN,29,0.233,0.331,0.373,0.813,596146,142,Daniel Lynch,1.0,Target Field,26.0,663738,4.79,10.13,9.36,1.52,0.279,0.0,0.0,0.333,0.5,0.25,False
44,44,44,44,52,19997,Santiago Espinal,TOR,27,0.263,0.313,0.378,0.8490000000000001,669289,141,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.0,0.25,0.25,0.25,0.5,True
45,45,45,45,53,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.25,0.25,0.5,0.25,0.333,True
46,46,46,46,54,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Ryan Yarbrough,0.0,Tropicana Field,21.0,642232,5.08,9.85,6.35,1.36,0.277,0.333,0.4,0.25,0.0,0.0,False
47,47,47,47,57,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Martin Perez,1.0,Oakland Coliseum,19.0,527048,2.85,7.94,7.81,1.18,0.235,0.5,0.5,0.333,0.0,0.0,True
48,48,48,48,58,5235,Justin Turner,LAD,37,0.26,0.334,0.41,0.8220000000000001,457759,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.25,0.0,0.0,0.75,0.0,True
49,49,49,49,59,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.4,0.25,0.5,0.2,0.25,False
50,50,50,50,60,15998,Cody Bellinger,LAD,26,0.212,0.269,0.405,0.759,641355,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.0,0.25,0.25,0.4,0.333,True
51,51,51,51,62,19610,Keibert Ruiz,WSN,23,0.247,0.307,0.359,0.86,660688,120,German Marquez,1.0,Nationals Park,29.0,608566,5.18,9.54,7.25,1.41,0.27,0.4,0.0,0.2,0.667,1.0,True
52,52,52,52,63,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.2,0.25,0.0,0.0,False
53,53,53,53,64,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Tarik Skubal,0.0,Comerica Park,25.0,669373,3.52,7.95,8.95,1.16,0.237,0.0,0.25,0.25,0.0,0.75,True
54,54,54,54,65,19238,Lourdes Gurriel Jr.,TOR,28,0.309,0.361,0.421,0.797,666971,141,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.0,0.333,0.0,0.25,0.333,False
55,55,55,55,66,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.667,0.8,0.333,0.5,0.8,True
56,56,56,56,67,19566,Nathaniel Lowe,TEX,26,0.282,0.332,0.461,0.775,663993,140,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.0,0.333,0.5,0.5,0.2,True
57,57,57,57,68,19290,Randy Arozarena,TBR,27,0.256,0.317,0.416,0.7240000000000001,668227,139,Nestor Cortes,1.0,Tropicana Field,21.0,641482,2.57,6.91,9.24,1.02,0.208,0.25,0.25,0.4,1.0,0.8,False
58,58,58,58,72,14813,Kyle Farmer,CIN,31,0.252,0.326,0.368,0.8240000000000001,571657,113,Justin Steele,1.0,Great American Ball Park,8.0,657006,3.67,8.66,9.13,1.41,0.247,0.25,0.5,0.333,1.0,0.25,True
59,59,59,59,73,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,Adam Wainwright,0.0,Busch Stadium,15.0,425794,3.42,8.64,7.24,1.24,0.253,0.25,0.25,0.333,0.5,0.25,True
60,60,60,60,74,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Daniel Lynch,1.0,Target Field,26.0,663738,4.79,10.13,9.36,1.52,0.279,0.25,0.75,0.333,1.0,0.333,True
61,61,61,61,75,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Ryan Yarbrough,0.0,Tropicana Field,21.0,642232,5.08,9.85,6.35,1.36,0.277,0.0,0.4,0.0,0.25,0.0,True
62,62,62,62,76,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.333,0.25,0.25,0.0,0.25,True
63,63,63,63,77,24655,Owen Miller,CLE,25,0.238,0.296,0.359,0.8370000000000001,680911,114,Tarik Skubal,0.0,Comerica Park,25.0,669373,3.52,7.95,8.95,1.16,0.237,0.0,0.25,0.0,0.5,0.0,True
64,64,64,64,78,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Adam Wainwright,0.0,Busch Stadium,15.0,425794,3.42,8.64,7.24,1.24,0.253,0.667,0.0,0.2,0.25,0.6,True
65,65,65,65,79,16572,Connor Joe,COL,29,0.246,0.347,0.363,0.809,656582,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.2,0.25,0.4,0.0,0.6,True
66,66,66,66,80,22799,Geraldo Perdomo,ARI,22,0.205,0.298,0.286,0.812,672695,109,Mitch White,1.0,Chase Field,13.0,669952,5.79,11.57,3.86,1.5,0.3,0.333,0.25,0.25,0.333,0.2,True
67,67,67,67,81,10243,Randal Grichuk,COL,30,0.27,0.312,0.435,0.768,545341,115,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.5,0.333,0.0,0.25,0.5,False
68,68,68,68,82,14894,Tony Kemp,OAK,30,0.212,0.285,0.3,0.8740000000000001,643393,133,Martin Perez,1.0,Oakland Coliseum,19.0,527048,2.85,7.94,7.81,1.18,0.235,0.75,0.5,0.0,0.2,0.25,False
69,69,69,69,83,15117,Hunter Dozier,KCR,30,0.245,0.309,0.411,0.733,641531,118,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.25,0.2,0.0,0.0,True
70,70,70,70,84,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,German Marquez,1.0,Nationals Park,29.0,608566,5.18,9.54,7.25,1.41,0.27,0.25,0.2,0.333,0.5,0.25,True
71,71,71,71,85,18607,Jared Walsh,LAA,28,0.225,0.27,0.392,0.753,665120,108,Hyun Jin Ryu,1.0,Angel Stadium,4.0,547943,5.67,10.67,5.33,1.33,0.294,0.25,0.5,0.0,0.0,0.5,True
72,72,72,72,86,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Justin Steele,1.0,Great American Ball Park,8.0,657006,3.67,8.66,9.13,1.41,0.247,0.667,0.333,0.0,0.333,0.25,False
73,73,73,73,87,11200,Kole Calhoun,TEX,34,0.211,0.269,0.363,0.654,594777,140,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.75,0.0,0.25,0.25,0.25,True
74,74,74,74,88,2434,Nelson Cruz,WSN,41,0.233,0.318,0.342,0.7020000000000001,443558,120,German Marquez,1.0,Nationals Park,29.0,608566,5.18,9.54,7.25,1.41,0.27,0.667,0.6,0.25,0.667,0.333,True
75,75,75,75,89,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,German Marquez,1.0,Nationals Park,29.0,608566,5.18,9.54,7.25,1.41,0.27,0.333,0.0,0.0,0.5,0.25,False
76,76,76,76,90,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.0,0.2,0.0,0.5,0.0,True
