,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Logan Gilbert,1,Yankee Stadium,6,669302,3.47,8.57,8.30,1.23,.248,0.0,0.5,0.0,0.667,0.6,0.333,False
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Keegan Thompson,1,Busch Stadium,15,624522,3.36,8.36,7.82,1.24,.247,0.286,0.0,0.333,0.0,0.0,0.6,True
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Keegan Thompson,1,Busch Stadium,15,624522,3.36,8.36,7.82,1.24,.247,0.375,0.0,0.25,0.25,0.5,0.5,True
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.20,.254,0.273,0.6,0.6,0.5,0.0,0.333,True
4,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.10,7.96,1.42,.280,0.0,0.25,0.0,0.2,0.25,0.0,False
5,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Cory Abbott,0,Nationals Park,29,676265,5.94,8.10,8.64,1.56,.227,0.0,0.2,0.6,0.75,0.5,0.333,True
6,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Nick Nelson,1,Truist Park,12,656793,4.18,7.66,9.23,1.35,.232,0.333,0.25,0.25,0.5,0.5,0.6,True
7,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Nick Nelson,1,Truist Park,12,656793,4.18,7.66,9.23,1.35,.232,0.0,0.5,0.25,0.75,0.0,0.667,True
8,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.20,.254,0.636,0.2,0.2,0.0,0.333,0.333,True
9,17350,Rafael Devers,BOS,25,0.307,0.364,0.577,0.733,646240,111,Cristian Javier,0,Minute Maid Park,32,664299,3.14,6.19,11.84,1.05,.191,0.0,0.333,0.0,0.333,0.25,0.5,True
10,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.20,.254,0.333,0.333,0.2,0.25,0.2,0.75,True
12,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Logan Gilbert,1,Yankee Stadium,6,669302,3.47,8.57,8.30,1.23,.248,0.0,0.75,0.4,0.6,0.0,0.5,True
13,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Jordan Lyles,1,Globe Life Field,14,543475,4.35,10.01,7.25,1.44,.279,0.5,0.25,1.0,0.0,0.0,0.0,True
14,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Keegan Thompson,1,Busch Stadium,15,624522,3.36,8.36,7.82,1.24,.247,0.222,0.0,0.333,0.0,0.5,0.0,True
15,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,.185,0.0,0.6,1.0,0.0,0.5,0.333,False
16,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.20,.254,0.5,0.4,0.2,0.25,0.667,0.4,True
17,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Brad Keller,1,Guaranteed Rate Field,23,641745,4.93,9.42,6.11,1.43,.268,0.211,0.0,0.5,0.333,0.25,0.25,True
