,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Spenser Watkins,0,Oriole Park at Camden Yards,30,657093,4.02,9.22,5.84,1.33,0.261,0.0,0.0,0.333,0.667,0.5,0.25,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Trevor Williams,0,Citi Field,22,592866,3.16,8.19,8.19,1.16,0.239,0.444,0.333,0.5,0.0,0.333,0.25,False
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Trevor Williams,0,Citi Field,22,592866,3.16,8.19,8.19,1.16,0.239,0.318,0.75,0.25,0.5,0.25,0.667,True
3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Tyler Gilbert,1,Dodger Stadium,17,656457,5.24,8.65,5.24,1.25,0.25,0.5,0.5,0.0,0.0,0.333,0.2,True
4,4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.167,0.0,0.25,0.0,0.5,0.0,True
5,5,5,5,5,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Nathan Eovaldi,0,Fenway Park,3,543135,4.23,9.51,8.94,1.23,0.263,1.0,0.0,0.0,0.0,0.5,0.6,True
6,6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.2,0.0,0.0,0.5,0.333,0.25,True
7,7,7,7,7,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Miles Mikolas,1,Citi Field,22,571945,3.5,8.09,6.88,1.09,0.239,0.0,0.25,0.333,0.0,0.0,0.0,True
8,8,8,8,8,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.6,0.25,0.0,0.75,0.0,0.333,False
9,9,9,9,9,9,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Tyler Gilbert,1,Dodger Stadium,17,656457,5.24,8.65,5.24,1.25,0.25,0.0,0.25,0.5,0.25,0.333,0.0,True
