,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Aaron Civale,1,Yankee Stadium,6,650644,6.17,10.67,8.67,1.46,0.295,0.25,0.0,0.667,0.333,0.25,0.2,True
1,1,1,1,1,1,1,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Gerrit Cole,0,Yankee Stadium,6,543037,3.38,7.03,11.58,1.02,0.211,0.333,0.0,0.0,0.4,0.333,0.25,True
2,2,2,2,2,2,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Jesus Luzardo,1,Truist Park,12,666200,3.29,4.83,11.41,0.95,0.152,1.0,0.5,0.5,0.0,0.25,0.0,False
3,3,3,3,3,3,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Yusei Kikuchi,1,Minute Maid Park,32,579328,5.13,8.2,10.03,1.49,0.244,0.333,0.0,0.0,0.0,0.0,0.6,True
4,4,4,4,4,4,4,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Clayton Kershaw,1,Petco Park,31,477132,2.64,7.28,9.28,0.98,0.218,0.259,0.0,0.25,0.0,0.5,0.75,True
5,5,5,5,5,5,5,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Madison Bumgarner,0,Chase Field,13,518516,3.96,9.62,6.21,1.39,0.269,0.5,0.333,0.25,0.6,0.0,0.5,True
6,6,6,6,6,6,6,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Jesus Luzardo,1,Truist Park,12,666200,3.29,4.83,11.41,0.95,0.152,0.5,0.2,0.0,0.5,0.5,0.0,True
7,7,7,7,7,7,7,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Sean Manaea,0,Petco Park,31,640455,4.74,8.53,9.32,1.32,0.247,0.353,0.0,0.667,0.25,0.0,0.0,True
8,8,8,8,8,8,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Shane McClanahan,0,Tropicana Field,21,663556,2.24,5.89,11.29,0.83,0.184,0.375,0.0,0.25,0.0,0.2,0.0,True
9,9,9,9,9,9,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Shane McClanahan,0,Tropicana Field,21,663556,2.24,5.89,11.29,0.83,0.184,0.0,0.0,0.75,0.75,0.5,0.0,True
