,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
29,29,29,32,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.6,0.25,0.0,0.4,0.5,False
30,30,30,34,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.2,0.0,0.667,0.6,0.4,0.5,True
31,31,31,35,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Yu Darvish,1.0,Wrigley Field,24.0,506433,3.28,7.24,8.84,1.0,0.217,0.333,0.5,0.0,0.0,0.0,0.5,False
32,32,32,36,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,0.429,0.4,0.25,0.0,0.2,0.333,True
33,33,33,37,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Chris Archer,1.0,T-Mobile Park,27.0,502042,4.02,7.01,7.58,1.29,0.212,0.333,0.0,0.2,0.0,0.0,1.0,True
34,34,34,38,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Lance Lynn,1.0,Comerica Park,25.0,458681,5.88,9.96,9.35,1.29,0.269,0.067,0.0,0.0,0.0,0.5,0.2,False
35,35,35,39,19566,Nathaniel Lowe,TEX,26,0.282,0.332,0.461,0.775,663993,140,Cristian Javier,1.0,Globe Life Field,14.0,664299,3.14,6.19,11.84,1.05,0.191,0.182,0.2,0.4,0.5,0.667,0.0,False
36,36,36,40,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.24,0.25,0.0,0.0,0.0,0.0,True
37,37,37,41,14813,Kyle Farmer,CIN,31,0.252,0.326,0.368,0.8240000000000001,571657,113,Merrill Kelly,0.0,Chase Field,13.0,518876,2.86,7.48,7.41,1.13,0.226,0.0,0.333,1.0,0.0,0.0,0.0,True
38,38,38,42,12979,Javier Baez,DET,29,0.22,0.262,0.372,0.674,595879,116,Lance Lynn,1.0,Comerica Park,25.0,458681,5.88,9.96,9.35,1.29,0.269,0.2,0.0,1.0,0.0,0.0,0.5,False
39,39,39,43,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.0,0.0,0.0,0.25,0.5,0.5,True
40,40,40,44,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Chris Archer,1.0,T-Mobile Park,27.0,502042,4.02,7.01,7.58,1.29,0.212,0.0,0.0,0.25,0.2,0.333,0.0,True
41,41,41,45,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.333,0.0,0.5,0.5,0.25,0.25,False
42,42,42,46,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Taylor Hearn,0.0,Globe Life Field,14.0,621368,5.21,10.17,8.48,1.59,0.28,0.0,0.333,0.25,0.25,0.25,0.0,False
43,43,43,48,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Merrill Kelly,0.0,Chase Field,13.0,518876,2.86,7.48,7.41,1.13,0.226,0.167,0.0,0.2,0.5,0.5,0.25,False
44,44,44,49,11200,Kole Calhoun,TEX,34,0.211,0.269,0.363,0.654,594777,140,Cristian Javier,1.0,Globe Life Field,14.0,664299,3.14,6.19,11.84,1.05,0.191,0.7,0.167,0.333,0.0,0.25,0.0,False
45,45,45,50,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Lance Lynn,1.0,Comerica Park,25.0,458681,5.88,9.96,9.35,1.29,0.269,0.125,0.0,0.0,0.333,0.25,0.2,True
46,46,46,51,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Sandy Alcantara,1.0,Citizens Bank Park,16.0,645261,1.88,6.14,8.01,0.93,0.195,0.333,0.0,0.5,0.25,0.5,0.2,True
47,47,47,52,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Erasmo Ramirez,0.0,Nationals Park,29.0,541640,3.61,9.73,5.97,1.26,0.282,0.25,0.0,0.25,0.0,0.333,0.0,True
