,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Chris Archer,0,Target Field,26,502042,4.02,7.01,7.58,1.29,0.212,0.167,0.4,0.2,0.333,0.8,0.0,False
1,1,1,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Corey Kluber,0,Tropicana Field,21,446372,4.05,9.08,8.03,1.15,0.26,0.167,0.25,0.4,0.0,0.2,0.333,True
2,2,2,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,8.62,6.0,1.19,0.256,0.2,0.0,0.4,0.4,0.25,0.0,False
3,3,3,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Dane Dunning,1,Progressive Field,7,641540,4.04,8.79,7.84,1.36,0.257,0.5,0.0,0.0,0.0,0.5,0.4,True
4,4,4,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Logan Gilbert,1,Minute Maid Park,32,669302,3.47,8.57,8.3,1.23,0.248,0.1,0.333,0.0,0.75,0.5,0.6,True
5,5,5,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Chris Bassitt,1,Petco Park,31,605135,3.39,7.75,8.93,1.12,0.23,0.143,0.25,0.0,0.0,0.25,0.25,True
6,6,6,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Sean Manaea,0,Petco Park,31,640455,4.74,8.53,9.32,1.32,0.247,0.444,0.0,0.2,0.5,0.2,0.0,False
7,7,7,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,8.62,6.0,1.19,0.256,0.25,0.25,0.0,0.4,0.25,0.5,False
8,8,8,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,8.62,6.0,1.19,0.256,0.167,0.333,0.5,0.0,0.5,0.25,True
9,9,9,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Reid Detmers,0,Angel Stadium,4,672282,3.44,6.27,8.29,1.04,0.196,0.0,0.25,0.25,0.0,0.667,0.4,True
10,10,10,12,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.143,0.0,0.0,0.75,0.333,0.25,True
11,11,11,13,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Chris Archer,0,Target Field,26,502042,4.02,7.01,7.58,1.29,0.212,0.375,0.75,0.0,0.5,0.0,0.25,False
12,12,12,14,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Logan Gilbert,1,Minute Maid Park,32,669302,3.47,8.57,8.3,1.23,0.248,0.545,0.25,0.6,0.4,0.0,0.0,True
13,13,13,15,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Nestor Cortes,1,Target Field,26,641482,2.57,6.91,9.24,1.02,0.208,0.0,0.25,0.0,0.6,0.333,0.2,True
14,14,14,16,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,8.62,6.0,1.19,0.256,0.0,0.25,0.2,1.0,0.0,0.0,True
15,15,15,19,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Brady Singer,0,Kauffman Stadium,5,663903,3.49,8.36,9.18,1.15,0.248,0.0,0.0,0.333,0.333,0.2,0.25,False
16,16,16,20,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,8.62,6.0,1.19,0.256,1.0,0.5,0.0,0.0,0.0,1.0,True
17,17,17,21,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Logan Gilbert,1,Minute Maid Park,32,669302,3.47,8.57,8.3,1.23,0.248,0.625,0.333,0.0,0.2,0.25,0.0,True
18,18,18,22,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Brady Singer,0,Kauffman Stadium,5,663903,3.49,8.36,9.18,1.15,0.248,0.667,0.25,0.4,0.75,0.0,0.333,True
19,19,19,23,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Logan Gilbert,1,Minute Maid Park,32,669302,3.47,8.57,8.3,1.23,0.248,0.333,0.333,0.75,0.667,0.333,0.2,True
20,20,20,24,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Aaron Nola,1,American Family Field,18,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.0,0.25,0.0,0.0,0.25,False
21,21,21,26,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Alex Faedo,1,PNC Park,10,656412,5.53,10.57,7.38,1.64,0.293,0.0,0.333,0.333,0.0,0.4,0.25,False
22,22,22,27,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.2,0.4,0.0,0.0,0.25,0.25,True
