,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Sandy Alcantara,1,Busch Stadium,15,645261,1.88,6.14,8.01,0.93,0.195,0.1,0.5,0.0,0.2,0.75,0.0,False
1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Sandy Alcantara,1,Busch Stadium,15,645261,1.88,6.14,8.01,0.93,0.195,0.167,0.333,1.0,0.25,0.5,0.0,False
2,2,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.231,0.4,0.25,0.4,0.25,0.333,True
3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Dylan Bundy,1,Progressive Field,7,605164,5.01,9.74,7.14,1.3,0.272,0.182,0.25,0.25,0.0,0.75,0.0,True
4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.0,0.167,0.5,0.5,0.75,False
5,5,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Justin Verlander,1,Citi Field,22,434378,1.73,6.09,8.79,0.85,0.188,0.313,0.0,0.0,0.4,0.5,0.5,False
6,6,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.25,0.0,0.5,0.0,0.0,False
7,7,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Alek Manoah,0,Rogers Centre,2,666201,2.56,7.16,8.15,1.02,0.217,0.167,0.25,0.25,0.6,0.25,0.5,False
8,8,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.375,0.2,0.0,0.167,0.5,0.6,True
9,9,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Alek Manoah,0,Rogers Centre,2,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.25,0.333,0.0,0.25,0.333,True
10,10,12,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Kyle Wright,1,Citizens Bank Park,16,657140,3.22,7.83,8.67,1.17,0.234,0.4,0.25,0.333,0.0,0.25,0.0,False
11,11,13,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Sandy Alcantara,1,Busch Stadium,15,645261,1.88,6.14,8.01,0.93,0.195,0.429,0.5,0.25,0.0,0.2,0.25,False
12,12,14,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Taijuan Walker,0,Citi Field,22,592836,3.45,8.28,6.9,1.19,0.242,0.379,0.0,0.333,0.333,0.0,0.75,False
13,13,15,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Zack Greinke,0,Kauffman Stadium,5,425844,4.58,10.04,5.07,1.33,0.28,0.421,0.5,0.2,0.333,0.0,0.0,False
14,14,16,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Justin Verlander,1,Citi Field,22,434378,1.73,6.09,8.79,0.85,0.188,0.0,0.333,0.5,0.6,0.25,0.333,True
15,15,17,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Cal Quantrill,0,Progressive Field,7,615698,3.88,9.0,5.78,1.28,0.265,0.0,0.4,0.0,0.0,1.0,0.2,False
16,16,18,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.25,0.0,0.333,0.25,0.4,0.2,True
17,17,19,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Shohei Ohtani,0,Angel Stadium,4,660271,2.68,7.22,12.73,1.05,0.214,0.0,0.6,0.25,0.667,0.25,0.0,True
18,18,21,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Madison Bumgarner,0,Chase Field,13,518516,3.96,9.62,6.21,1.39,0.269,0.3,0.0,0.0,0.0,0.0,0.0,True
19,19,22,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Nick Pivetta,1,Rogers Centre,2,601713,4.51,8.73,8.66,1.33,0.253,0.333,1.0,0.333,0.5,0.0,1.0,False
20,20,23,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Nick Pivetta,1,Rogers Centre,2,601713,4.51,8.73,8.66,1.33,0.253,0.25,0.5,0.25,0.5,0.25,0.4,False
21,21,24,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.25,0.25,0.667,0.4,0.25,0.0,True
